date,vendor,amount,raw_category,assigned_category,classification_method
2026-03-22,Neighborhood Pizza,-26.75,dining,Food & Dining,exact_vendor_match
2026-03-23,Uber,-17.95,transportation,Transport,exact_vendor_match
2026-03-24,Auto Registration Renewal,-210.0,unusual,Transport,exact_vendor_match
2026-03-25,Sweetgreen,-16.4,dining,Food & Dining,exact_vendor_match
2026-03-26,Walgreens,-21.35,health,Medical,exact_vendor_match
2026-03-27,Whole Foods Market,-92.7,groceries,Food & Dining,exact_vendor_match
2026-03-28,Sushi Spot,-34.85,dining,Food & Dining,exact_vendor_match
2026-03-29,Lyft,-20.15,transportation,Transport,exact_vendor_match
2026-03-30,Trader Joe's,-76.8,groceries,Food & Dining,exact_vendor_match
2026-03-31,Uber Eats Burger Bar,-28.65,dining,Food & Dining,exact_vendor_match
